Day,Rain,ActiveMode,ActiveNorm,ActiveModeCounterToInactiveNorm,InactiveModeCounterToActiveNorm,LocalCommute,CityCommute,DistantCommute,Subculture A,Subculture B,Subculture C,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
169,0,35270,8239,31847,4816,22840,12430,0,11825,10723,12722,1046,901,1162,922,2300,1847,3952,1406,959,1079,3152,4012,1238,2145,1406,2033,2688,1252,1134,636
170,0,35291,8214,31859,4782,22850,12441,0,11810,10736,12745,1046,901,1162,922,2300,1847,3952,1406,959,1079,3152,4012,1238,2145,1406,2044,2688,1252,1144,636
171,0,35285,8274,31853,4842,22851,12434,0,11793,10740,12752,1046,901,1162,922,2300,1847,3952,1406,959,1079,3152,4012,1238,2145,1406,2042,2688,1252,1140,636
172,0,35277,8284,31833,4840,22845,12432,0,11811,10731,12735,1046,901,1162,921,2300,1847,3952,1406,959,1079,3152,4012,1238,2145,1406,2049,2688,1252,1126,636
175,0,35312,8251,31873,4812,22861,12451,0,11823,10746,12743,1046,901,1162,921,2300,1847,3952,1406,959,1079,3151,4012,1238,2145,1406,2072,2687,1252,1140,636
176,1,31358,8236,28273,5151,19281,12077,0,10561,9549,11248,777,901,1066,887,2234,1170,3951,1039,765,1074,3053,4010,1238,868,1405,1538,2418,1252,1110,602
177,0,35315,5491,32951,3127,22876,12439,0,11797,10747,12771,1046,901,1162,921,2300,1849,3952,1406,959,1079,3147,4012,1238,2156,1406,2055,2691,1252,1148,635
178,0,35324,8252,31893,4821,22870,12454,0,11816,10743,12765,1046,901,1162,920,2300,1848,3952,1406,959,1079,3146,4012,1238,2148,1406,2072,2687,1252,1154,636
179,0,35274,8215,31851,4792,22838,12436,0,11795,10742,12737,1046,901,1162,919,2300,1848,3952,1406,959,1079,3145,4012,1238,2148,1406,2038,2687,1252,1140,636
182,0,35272,8201,31864,4793,22841,12431,0,11790,10740,12742,1046,901,1162,919,2300,1848,3952,1406,959,1079,3145,4012,1238,2148,1406,2042,2685,1252,1136,636
183,0,35288,8226,31846,4784,22867,12421,0,11814,10751,12723,1046,901,1162,918,2300,1848,3952,1406,959,1079,3145,4012,1238,2148,1406,2053,2685,1252,1142,636
184,0,35268,8201,31850,4783,22848,12420,0,11776,10744,12748,1046,901,1162,918,2300,1848,3952,1406,959,1079,3144,4012,1238,2148,1406,2053,2685,1252,1123,636
185,1,31316,8206,28276,5166,19255,12061,0,10537,9531,11248,777,901,1066,882,2233,1171,3951,1038,765,1075,3051,4010,1238,864,1405,1544,2400,1252,1091,602
186,0,35290,5458,32936,3104,22851,12439,0,11805,10732,12753,1047,901,1162,913,2300,1849,3952,1406,959,1079,3139,4012,1238,2158,1406,2058,2688,1252,1135,636
189,0,35242,8208,31823,4789,22824,12418,0,11790,10717,12735,1046,901,1162,915,2300,1848,3952,1406,959,1079,3140,4012,1238,2149,1406,2011,2685,1252,1145,636
190,0,35241,8241,31809,4809,22826,12415,0,11776,10741,12724,1046,901,1162,914,2300,1848,3952,1406,959,1079,3138,4012,1238,2149,1406,2034,2684,1252,1125,636
191,0,35248,8207,31837,4796,22830,12418,0,11787,10731,12730,1046,901,1162,914,2300,1848,3952,1406,959,1079,3138,4012,1238,2149,1406,2038,2684,1252,1128,636
192,0,35238,8206,31811,4779,22837,12401,0,11782,10724,12732,1046,901,1162,914,2300,1848,3952,1406,959,1079,3138,4012,1238,2149,1406,2040,2684,1252,1116,636
193,1,31334,8205,28260,5131,19276,12058,0,10540,9536,11258,779,901,1066,878,2233,1169,3951,1039,765,1074,3050,4010,1238,874,1405,1530,2418,1252,1101,601
196,0,35291,5476,32934,3119,22858,12433,0,11792,10736,12763,1046,901,1162,913,2300,1849,3952,1406,960,1079,3137,4012,1238,2158,1406,2055,2688,1252,1142,635
197,0,35260,8193,31847,4780,22861,12399,0,11786,10738,12736,1046,901,1162,913,2300,1848,3952,1406,960,1079,3138,4012,1238,2149,1406,2057,2684,1252,1121,636
198,0,35294,8195,31860,4761,22864,12430,0,11795,10738,12761,1046,901,1162,912,2300,1848,3952,1406,960,1079,3138,4012,1238,2149,1406,2067,2684,1252,1146,636
199,0,35273,8221,31843,4791,22851,12422,0,11809,10726,12738,1046,901,1162,912,2300,1848,3952,1406,960,1079,3137,4012,1238,2149,1406,2070,2684,1252,1123,636
200,0,35267,8235,31836,4804,22858,12409,0,11792,10730,12745,1046,901,1162,912,2300,1848,3952,1406,960,1079,3137,4012,1238,2149,1406,2066,2684,1252,1121,636
203,1,31284,8215,28226,5157,19259,12025,0,10528,9528,11228,779,901,1066,879,2233,1171,3951,1038,766,1073,3046,4010,1238,872,1405,1519,2413,1252,1069,603
204,0,35267,5466,32903,3102,22870,12397,0,11788,10745,12734,1047,901,1162,912,2300,1850,3952,1406,960,1079,3132,4012,1238,2159,1406,2053,2688,1252,1122,636
205,0,35279,8242,31853,4816,22886,12393,0,11791,10749,12739,1046,901,1162,912,2300,1849,3952,1406,960,1079,3133,4012,1238,2151,1406,2070,2684,1252,1130,636
